Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","004","Afghanistan","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","38972.23","X","Figure from international organizations",""
"FBS","Food Balances (2010-)","004","Afghanistan","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","40099.46","X","Figure from international organizations",""
"FBS","Food Balances (2010-)","004","Afghanistan","511","Total Population - Both sexes","S2501","Population","2022","2022","1000 No","41128.77","X","Figure from international organizations",""
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2511","Wheat and products","2020","2020","1000 t","5185","I","Imputed value",""
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import quantity","S2511","Wheat and products","2020","2020","1000 t","2757","I","Imputed value",""
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2511","Wheat and products","2021","2021","1000 t","4018","I","Imputed value",""
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import quantity","S2511","Wheat and products","2021","2021","1000 t","2777","I","Imputed value",""
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2511","Wheat and products","2022","2022","1000 t","3810","I","Imputed value",""
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import quantity","S2511","Wheat and products","2022","2022","1000 t","3538","I","Imputed value",""
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2807","Rice and products","2020","2020","1000 t","440","I","Imputed value",""
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import quantity","S2807","Rice and products","2020","2020","1000 t","595","I","Imputed value",""
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2807","Rice and products","2021","2021","1000 t","622","I","Imputed value",""
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import quantity","S2807","Rice and products","2021","2021","1000 t","662","I","Imputed value",""
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2807","Rice and products","2022","2022","1000 t","592","I","Imputed value",""
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import quantity","S2807","Rice and products","2022","2022","1000 t","777","I","Imputed value",""
"FBS","Food Balances (2010-)","008","Albania","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","2866.85","X","Figure from international organizations",""
"FBS","Food Balances (2010-)","008","Albania","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","2854.71","X","Figure from international organizations",""
"FBS","Food Balances (2010-)","008","Albania","511","Total Population - Both sexes","S2501","Population","2022","2022","1000 No","2842.32","X","Figure from international organizations",""
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2511","Wheat and products","2020","2020","1000 t","233","I","Imputed value",""
"FBS","Food Balances (2010-)","008","Albania","5611","Import quantity","S2511","Wheat and products","2020","2020","1000 t","398","I","Imputed value",""
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2511","Wheat and products","2021","2021","1000 t","225","I","Imputed value",""
"FBS","Food Balances (2010-)","008","Albania","5611","Import quantity","S2511","Wheat and products","2021","2021","1000 t","398","I","Imputed value",""
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2511","Wheat and products","2022","2022","1000 t","233","I","Imputed value",""
"FBS","Food Balances (2010-)","008","Albania","5611","Import quantity","S2511","Wheat and products","2022","2022","1000 t","341","I","Imputed value",""
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2807","Rice and products","2020","2020","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","008","Albania","5611","Import quantity","S2807","Rice and products","2020","2020","1000 t","26","I","Imputed value",""
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2807","Rice and products","2021","2021","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","008","Albania","5611","Import quantity","S2807","Rice and products","2021","2021","1000 t","17","I","Imputed value",""
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2807","Rice and products","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","008","Albania","5611","Import quantity","S2807","Rice and products","2022","2022","1000 t","39","I","Imputed value",""
"FBS","Food Balances (2010-)","012","Algeria","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","43451.67","X","Figure from international organizations",""
"FBS","Food Balances (2010-)","012","Algeria","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","44177.97","X","Figure from international organizations",""
"FBS","Food Balances (2010-)","012","Algeria","511","Total Population - Both sexes","S2501","Population","2022","2022","1000 No","44903.22","X","Figure from international organizations",""
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","S2511","Wheat and products","2020","2020","1000 t","3107","I","Imputed value",""
"FBS","Food Balances (2010-)","012","Algeria","5611","Import quantity","S2511","Wheat and products","2020","2020","1000 t","7077","I","Imputed value",""
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","S2511","Wheat and products","2021","2021","1000 t","2168","I","Imputed value",""
"FBS","Food Balances (2010-)","012","Algeria","5611","Import quantity","S2511","Wheat and products","2021","2021","1000 t","8057","I","Imputed value",""
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","S2511","Wheat and products","2022","2022","1000 t","3000","I","Imputed value",""
"FBS","Food Balances (2010-)","012","Algeria","5611","Import quantity","S2511","Wheat and products","2022","2022","1000 t","7047","I","Imputed value",""
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","S2807","Rice and products","2020","2020","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","012","Algeria","5611","Import quantity","S2807","Rice and products","2020","2020","1000 t","209","I","Imputed value",""
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","S2807","Rice and products","2021","2021","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","012","Algeria","5611","Import quantity","S2807","Rice and products","2021","2021","1000 t","202","I","Imputed value",""
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","S2807","Rice and products","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","012","Algeria","5611","Import quantity","S2807","Rice and products","2022","2022","1000 t","265","I","Imputed value",""
